job_id,company,title,location,url,date_found,status,date_applied,contact_name,contact_linkedin,contact_email,notes,match_score,h1b_sponsor
GH-0001,AdventHealth,Patient Safety Organization Data Analyst,"Orlando, FL",https://www.adventhealth.com/,2026-03-06,new,,,,,,50,yes
GH-0002,Mayo Clinic,Associate Data Science Analyst - Hematology,"Rochester, MN, United States",https://www.mayoclinic.org,2026-03-06,skipped,,,,,Auto-filtered: Low score: 20,20,yes
GH-0003,Arcadia,Data Analyst,Remote (USA),https://arcadia.io,2026-03-06,new,,,,,,50,unknown
GH-0005,Mayo Clinic Healthcare London,Associate Data Science Analyst - Hematology,"Rochester, MN, United States",https://mayoclinichealthcare.co.uk,2026-03-06,skipped,,,,,Auto-filtered: Low score: 20,20,likely
GH-0006,Mayo Clinic Rochester,Associate Data Science Analyst - Hematology,"Rochester, MN, United States",http://www.mayoclinichealthsystem.org,2026-03-06,skipped,,,,,Auto-filtered: Low score: 20,20,likely
GH-0007,Cenergy International Services,Junior Data Analyst ( Onsite),"Gregory, TX",http://cenergyintl.com,2026-03-06,new,,,,,,60,unknown
GH-0008,Bain & Company,"Data Operations Analyst, Pyxis","Chicago, IL",https://www.bain.com,2026-03-06,preparing,,,,,,70,yes
GH-0009,SciTec,Associate / Staff Mission Data Analyst (Clearance Required),"Aurora, CO",https://scitec.com,2026-03-06,skipped,,,,,Auto-filtered: Title: 'clearance',60,unknown
GH-0010,M Science,Data Analyst,NYC Metro Area,http://www.mscience.com/,2026-03-06,new,,,,,,50,unknown
GH-0011,Perdue Farms,Associate Master Data Analyst,"Salisbury, MD",http://www.perduefarms.com/,2026-03-06,new,,,,,,60,unknown
GH-0012,J.S. Held LLC,Data Analyst – Health Sciences,"New Orleans, LA",http://jsheld.com/,2026-03-06,new,,,,,,50,unknown
GH-0014,Kimley-Horn,Site Selection Analyst,"Greenwood Village, CO",https://www.kimley-horn.com/,2026-03-06,new,,,,,,25,unknown
GH-0015,Google,"Scaled Abuse Analyst, YouTube","San Bruno, CA",https://www.google.com,2026-03-06,new,,,,,,25,yes
GH-0016,Crew,Data Analyst,"Chanhassen, MN",http://theboomlab.com,2026-03-06,new,,,,,,50,unknown
GH-0018,Accenture,XR Data Collection Proctor Associate,"Walnut Creek, CA",https://www.accenture.com,2026-03-06,new,,,,,,35,yes
GH-0019,Yes Energy,Data Validation Analyst I,"Glendora, CA",https://www.yesenergy.com,2026-03-06,skipped,,,,,Auto-filtered: Low score: 20,20,unknown
GH-0020,BC Housing,Research Analyst,"Burnaby, British Columbia, Canada",https://bchousing.org,2026-03-06,skipped,,,,,"Auto-filtered: Location: 'Burnaby, British Columbia, Canada'",45,unknown
GH-0021,UST HealthProof,Threat Hunting Data Analyst,New York,https://usthealthproof.com,2026-03-06,new,,,,,,50,unknown
GH-0022,El Super,Master Data Analyst,"Commerce, CA",http://elsupermarkets.com,2026-03-06,new,,,,,,50,unknown
GH-0023,SanMar,"Data Analyst, Sales Operations",United States,http://www.sanmar.com,2026-03-06,new,,,,,,50,unknown
GH-0025,Chedraui USA,Master Data Analyst,"Commerce, CA",https://chedrauiusa.com/,2026-03-06,new,,,,,,50,unknown
GH-0026,UST,Threat Hunting Data Analyst,"New York, United States",https://www.ust.com,2026-03-06,new,,,,,,50,likely
GH-0027,Carolina Public Humanities,IT Operations Analyst,"North Carolina, US",http://humanities.unc.edu,2026-03-06,new,,,,,,45,unknown
GH-0028,Channel Dynamics,Research Analyst,"Denver, CO",http://www.channel-dynamics.com,2026-03-06,new,,,,,,45,unknown
GH-0029,"Navia Benefit Solutions, Inc.",COBRA Data Analyst,United States,https://www.naviabenefits.com,2026-03-06,new,,,,,,50,unknown
GH-0030,CAMH,"Research Analyst - Child, Youth and Emerging Adult Program","Toronto, Ontario, Canada",https://www.camh.ca,2026-03-06,skipped,,,,,"Auto-filtered: Location: 'Toronto, Ontario, Canada'",45,unknown
GH-0031,LSEG,Lead Research Analyst - Hebrew Language Skills,"Washington, DC",https://www.lseg.com/,2026-03-06,skipped,,,,,Auto-filtered: Title: 'lead',45,unknown
GH-0032,USF College of Nursing,Statistical Data Analyst,"Tampa, FL, United States",http://health.usf.edu/nursing,2026-03-06,new,,,,,,50,unknown
